"anime_id","title","type","source","episodes","status","aired_string","aired","aired_year","duration","duration_minutes","rating","score","scored_by","rank","popularity","members","favorites","studio","genre","main_genre"
1253,"Saint Seiya: Meiou Hades Meikai-hen","OVA","Manga",12,"Finished Airing","Dec 17, 2005 to Feb 6, 2007","{'from': '2005-12-17', 'to': '2007-02-06'}",2005,"25 min. per ep.",25,"PG-13 - Teens 13 or older",7.91,17376,686,2232,27495,103,"Toei Animation","Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power","Action"
31853,"Biohazard: Vendetta","Movie","Game",1,"Finished Airing","May 27, 2017","{'from': '2017-05-27', 'to': '2017-05-27'}",2017,"1 hr. 36 min.",96,"R - 17+ (violence & profanity)",7.24,4095,2637,3748,9558,24,"Marza Animation Planet","Action, Horror, Sci-Fi","Action"
645,"Hikaru no Go: Journey to the North Star Cup","Special","Manga",1,"Finished Airing","Jan 3, 2004","{'from': '2004-01-03', 'to': '2004-01-03'}",2004,"1 hr. 17 min.",77,"G - All Ages",8.06,9278,472,2943,16465,30,"Studio Pierrot","Game, Shounen","Game"
8133,"Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!","Movie","Original",1,"Finished Airing","Mar 20, 2010","{'from': '2010-03-20', 'to': '2010-03-20'}",2010,"1 hr. 10 min.",70,"G - All Ages",7.27,1718,2535,5463,3745,9,"Toei Animation","Action, Fantasy, Magic, Shoujo","Action"
1607,"Venus Versus Virus","TV","Manga",12,"Finished Airing","Jan 12, 2007 to Mar 30, 2007","{'from': '2007-01-12', 'to': '2007-03-30'}",2007,"24 min. per ep.",24,"PG-13 - Teens 13 or older",6.49,8829,5660,2459,23329,54,"Studio Hibari","Drama, Romance, Supernatural","Drama"
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","TV","Book",12,"Finished Airing","Jul 4, 2015 to Sep 19, 2015","{'from': '2015-07-04', 'to': '2015-09-19'}",2015,"23 min. per ep.",23,"R - 17+ (violence & profanity)",7.89,210578,715,137,373970,3838,"A-1 Pictures","Action, Military, Adventure, Fantasy","Action"
1046,"Elf wo Karu Mono-tachi II","TV","Manga",12,"Finished Airing","Oct 1, 1997 to Dec 24, 1997","{'from': '1997-10-01', 'to': '1997-12-24'}",1997,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.13,4890,3070,3839,9043,9,"","Adventure, Comedy, Fantasy","Adventure"
487,"Girls Bravo: Second Season","TV","Manga",13,"Finished Airing","Jan 27, 2005 to Apr 21, 2005","{'from': '2005-01-27', 'to': '2005-04-21'}",2005,"23 min. per ep.",23,"R+ - Mild Nudity",6.83,36963,4189,1227,66156,135,"AIC Spirits","Comedy, Ecchi, Fantasy, Harem, Romance, School","Comedy"
3527,"Lesbian Byoutou","OVA","Other",2,"Finished Airing","Mar 6, 2003 to Jun 20, 2003","{'from': '2003-03-06', 'to': '2003-06-20'}",2003,"30 min. per ep.",30,"Rx - Hentai",5.47,521,NA,7630,1385,8,"","Hentai","Hentai"
8436,"Animentary: Ketsudan","TV","Other",26,"Finished Airing","Apr 3, 1971 to Sep 25, 1971","{'from': '1971-04-03', 'to': '1971-09-25'}",1971,"25 min. per ep.",25,"None",6.68,62,4839,9488,507,7,"Tatsunoko Production","Historical, Military","Historical"
